question,original_result,generated_cypher,generated_result
Which actors were born after 1970?,"[{""actor"": ""Noah Wyle"", ""year_born"": 1971}, {""actor"": ""Regina King"", ""year_born"": 1971}, {""actor"": ""Corey Feldman"", ""year_born"": 1971}, {""actor"": ""Rick Yune"", ""year_born"": 1971}, {""actor"": ""Paul Bettany"", ""year_born"": 1971}, {""actor"": ""Wil Wheaton"", ""year_born"": 1972}, {""actor"": ""Dave Chappelle"", ""year_born"": 1973}, {""actor"": ""Jerry O'Connell"", ""year_born"": 1974}, {""actor"": ""Christian Bale"", ""year_born"": 1974}, {""actor"": ""Charlize Theron"", ""year_born"": 1975}, {""actor"": ""Audrey Tautou"", ""year_born"": 1976}, {""actor"": ""Liv Tyler"", ""year_born"": 1977}, {""actor"": ""Emil Eifrem"", ""year_born"": 1978}, {""actor"": ""Christina Ricci"", ""year_born"": 1980}, {""actor"": ""Natalie Portman"", ""year_born"": 1981}, {""actor"": ""Rain"", ""year_born"": 1982}, {""actor"": ""Emile Hirsch"", ""year_born"": 1985}, {""actor"": ""Jonathan Lipnicki"", ""year_born"": 1996}]","MATCH (p:Person) WHERE p.born > 1970 RETURN p.name AS Actor, p.born AS BirthYear ORDER BY p.name LIMIT 50;","[{""Actor"": ""Audrey Tautou"", ""BirthYear"": 1976}, {""Actor"": ""Charlize Theron"", ""BirthYear"": 1975}, {""Actor"": ""Christian Bale"", ""BirthYear"": 1974}, {""Actor"": ""Christina Ricci"", ""BirthYear"": 1980}, {""Actor"": ""Corey Feldman"", ""BirthYear"": 1971}, {""Actor"": ""Dave Chappelle"", ""BirthYear"": 1973}, {""Actor"": ""Emil Eifrem"", ""BirthYear"": 1978}, {""Actor"": ""Emile Hirsch"", ""BirthYear"": 1985}, {""Actor"": ""Jerry O'Connell"", ""BirthYear"": 1974}, {""Actor"": ""Jonathan Lipnicki"", ""BirthYear"": 1996}, {""Actor"": ""Liv Tyler"", ""BirthYear"": 1977}, {""Actor"": ""Natalie Portman"", ""BirthYear"": 1981}, {""Actor"": ""Noah Wyle"", ""BirthYear"": 1971}, {""Actor"": ""Paul Bettany"", ""BirthYear"": 1971}, {""Actor"": ""Rain"", ""BirthYear"": 1982}, {""Actor"": ""Regina King"", ""BirthYear"": 1971}, {""Actor"": ""Rick Yune"", ""BirthYear"": 1971}, {""Actor"": ""Wil Wheaton"", ""BirthYear"": 1972}]"
List all movies where the same person has acted and produced.,[],"MATCH (p:Person)-[a:ACTED_IN]->(m:Movie)<-[pr:PRODUCED]-(p) RETURN p.name AS Person, m.title AS Movie ORDER BY p.name, m.title LIMIT 50;",[]
Find the top 5 movies with the lowest ratings in REVIEWS.,"[{""movie"": ""The Birdcage"", ""average_rating"": 45.0}, {""movie"": ""The Da Vinci Code"", ""average_rating"": 66.5}, {""movie"": ""The Replacements"", ""average_rating"": 75.66666666666667}, {""movie"": ""Unforgiven"", ""average_rating"": 85.0}, {""movie"": ""Jerry Maguire"", ""average_rating"": 92.0}]","MATCH (m:Movie) OPTIONAL MATCH (p:Person)-[rev:REVIEWED]->(m) WITH m, AVG(rev.rating) AS average_rating RETURN m.title AS Movie, average_rating AS AverageRating ORDER BY average_rating ASC LIMIT 5;","[{""AverageRating"": 45.0, ""Movie"": ""The Birdcage""}, {""AverageRating"": 66.5, ""Movie"": ""The Da Vinci Code""}, {""AverageRating"": 75.66666666666667, ""Movie"": ""The Replacements""}, {""AverageRating"": 85.0, ""Movie"": ""Unforgiven""}, {""AverageRating"": 92.0, ""Movie"": ""Jerry Maguire""}]"
Who has produced and written the same movie?,"[{""person"": ""Cameron Crowe"", ""movie"": ""Jerry Maguire""}, {""person"": ""Nora Ephron"", ""movie"": ""When Harry Met Sally""}, {""person"": ""Lana Wachowski"", ""movie"": ""V for Vendetta""}, {""person"": ""Lilly Wachowski"", ""movie"": ""V for Vendetta""}, {""person"": ""Nancy Meyers"", ""movie"": ""Something's Gotta Give""}]","MATCH (p1:Person)-[r1:PRODUCED]->(m:Movie)<-[r2:WROTE]-(p2:Person) RETURN p1.name AS Producer, p2.name AS Writer, m.title AS Movie LIMIT 50;","[{""Movie"": ""Jerry Maguire"", ""Producer"": ""Cameron Crowe"", ""Writer"": ""Cameron Crowe""}, {""Movie"": ""When Harry Met Sally"", ""Producer"": ""Nora Ephron"", ""Writer"": ""Nora Ephron""}, {""Movie"": ""When Harry Met Sally"", ""Producer"": ""Rob Reiner"", ""Writer"": ""Nora Ephron""}, {""Movie"": ""Cloud Atlas"", ""Producer"": ""Stefan Arndt"", ""Writer"": ""David Mitchell""}, {""Movie"": ""V for Vendetta"", ""Producer"": ""Lana Wachowski"", ""Writer"": ""Lana Wachowski""}, {""Movie"": ""V for Vendetta"", ""Producer"": ""Lilly Wachowski"", ""Writer"": ""Lana Wachowski""}, {""Movie"": ""V for Vendetta"", ""Producer"": ""Joel Silver"", ""Writer"": ""Lana Wachowski""}, {""Movie"": ""V for Vendetta"", ""Producer"": ""Lana Wachowski"", ""Writer"": ""Lilly Wachowski""}, {""Movie"": ""V for Vendetta"", ""Producer"": ""Lilly Wachowski"", ""Writer"": ""Lilly Wachowski""}, {""Movie"": ""V for Vendetta"", ""Producer"": ""Joel Silver"", ""Writer"": ""Lilly Wachowski""}, {""Movie"": ""Speed Racer"", ""Producer"": ""Joel Silver"", ""Writer"": ""Lana Wachowski""}, {""Movie"": ""Speed Racer"", ""Producer"": ""Joel Silver"", ""Writer"": ""Lilly Wachowski""}, {""Movie"": ""Something's Gotta Give"", ""Producer"": ""Nancy Meyers"", ""Writer"": ""Nancy Meyers""}]"
List the actors who have acted in movies directed by both Lilly Wachowski and Lana Wachowski.,"[{""actorName"": ""Emile Hirsch""}, {""actorName"": ""Rain""}, {""actorName"": ""Christina Ricci""}, {""actorName"": ""Ben Miles""}, {""actorName"": ""Susan Sarandon""}, {""actorName"": ""John Goodman""}, {""actorName"": ""Matthew Fox""}, {""actorName"": ""Tom Hanks""}, {""actorName"": ""Jim Broadbent""}, {""actorName"": ""Halle Berry""}, {""actorName"": ""Hugo Weaving""}, {""actorName"": ""Laurence Fishburne""}, {""actorName"": ""Carrie-Anne Moss""}, {""actorName"": ""Keanu Reeves""}, {""actorName"": ""Emil Eifrem""}]","MATCH (d1:Person {name: ""Lilly Wachowski""})-[:DIRECTED]->(m:Movie)<-[:ACTED_IN]-(p:Person), (d2:Person {name: ""Lana Wachowski""})-[:DIRECTED]->(m) RETURN DISTINCT p.name AS Actor LIMIT 50;","[{""Actor"": ""Emile Hirsch""}, {""Actor"": ""Rain""}, {""Actor"": ""Christina Ricci""}, {""Actor"": ""Ben Miles""}, {""Actor"": ""Susan Sarandon""}, {""Actor"": ""John Goodman""}, {""Actor"": ""Matthew Fox""}, {""Actor"": ""Tom Hanks""}, {""Actor"": ""Jim Broadbent""}, {""Actor"": ""Halle Berry""}, {""Actor"": ""Hugo Weaving""}, {""Actor"": ""Laurence Fishburne""}, {""Actor"": ""Carrie-Anne Moss""}, {""Actor"": ""Keanu Reeves""}, {""Actor"": ""Emil Eifrem""}]"
Show the top 3 movies with the lowest number of votes.,"[{""m"": {""tagline"": ""400 million people were waiting for the truth."", ""votes"": 1, ""title"": ""Frost/Nixon"", ""released"": 2008}}, {""m"": {""tagline"": ""Based on the extraordinary true story of one man's fight for freedom"", ""votes"": 13, ""title"": ""RescueDawn"", ""released"": 2006}}, {""m"": {""tagline"": ""Prepare to enter a secret world of assassins"", ""votes"": 15, ""title"": ""Ninja Assassin"", ""released"": 2009}}]","MATCH (m:Movie) ORDER BY m.votes ASC RETURN m.title AS Movie, m.votes AS Votes LIMIT 3;","[{""Movie"": ""Frost/Nixon"", ""Votes"": 1}, {""Movie"": ""RescueDawn"", ""Votes"": 13}, {""Movie"": ""Ninja Assassin"", ""Votes"": 15}]"
List the top 5 movies that have not been reviewed.,"[{""m.title"": ""The Matrix""}, {""m.title"": ""The Matrix Reloaded""}, {""m.title"": ""The Matrix Revolutions""}, {""m.title"": ""The Devil's Advocate""}, {""m.title"": ""A Few Good Men""}]","MATCH (m:Movie) OPTIONAL MATCH (p:Person)-[r:REVIEWED]->(m) WHERE r IS NULL RETURN m.title AS Movie, m.votes AS Votes, m.released AS Released ORDER BY m.released DESC LIMIT 5;","[{""Movie"": ""Cloud Atlas"", ""Released"": 2012, ""Votes"": 121}, {""Movie"": ""Ninja Assassin"", ""Released"": 2009, ""Votes"": 15}, {""Movie"": ""Speed Racer"", ""Released"": 2008, ""Votes"": 30}, {""Movie"": ""Frost/Nixon"", ""Released"": 2008, ""Votes"": 1}, {""Movie"": ""Charlie Wilson's War"", ""Released"": 2007, ""Votes"": 25}]"
What are the top 3 movies with the most distinct taglines?,"[{""m.title"": ""Sleepless in Seattle"", ""m.tagline"": ""What if someone you never met, someone you never saw, someone you never knew was the only someone for you?""}, {""m.title"": ""The Matrix"", ""m.tagline"": ""Welcome to the Real World""}, {""m.title"": ""The Green Mile"", ""m.tagline"": ""Walk a mile you'll never forget.""}]","MATCH (m:Movie) WITH m.tagline AS Tagline, COUNT(DISTINCT m.title) AS MovieCount ORDER BY MovieCount DESC RETURN Tagline, MovieCount LIMIT 3;","[{""MovieCount"": 1, ""Tagline"": ""Free your mind""}, {""MovieCount"": 1, ""Tagline"": ""Everything that has a beginning has an end""}, {""MovieCount"": 1, ""Tagline"": ""Welcome to the Real World""}]"
Name 3 persons who acted in the most movies with a tagline containing 'journey'.,"[{""p.name"": ""Tom Hanks""}, {""p.name"": ""Robin Williams""}, {""p.name"": ""Helen Hunt""}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WHERE toLower(m.tagline) CONTAINS ""journey"" WITH p, COUNT(m) AS movie_count ORDER BY movie_count DESC RETURN p.name AS Actor, movie_count AS MoviesCount LIMIT 3;","[{""Actor"": ""Tom Hanks"", ""MoviesCount"": 1}, {""Actor"": ""Robin Williams"", ""MoviesCount"": 1}, {""Actor"": ""Helen Hunt"", ""MoviesCount"": 1}]"
Which 3 persons have the most distinct roles in the ACTED_IN relationship?,"[{""p.name"": ""Tom Hanks"", ""distinctRoles"": 12}, {""p.name"": ""Keanu Reeves"", ""distinctRoles"": 5}, {""p.name"": ""Jack Nicholson"", ""distinctRoles"": 5}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WITH p, COLLECT(DISTINCT r.roles) AS distinct_roles, COUNT(DISTINCT r.roles) AS roles_count ORDER BY roles_count DESC RETURN p.name AS Actor, roles_count AS DistinctRolesCount, distinct_roles LIMIT 3;","[{""Actor"": ""Tom Hanks"", ""DistinctRolesCount"": 12, ""distinct_roles"": [[""Joe Fox""], [""Sam Baldwin""], [""Joe Banks""], [""Mr. White""], [""Zachry"", ""Dr. Henry Goose"", ""Isaac Sachs"", ""Dermot Hoggins""], [""Dr. Robert Langdon""], [""Paul Edgecomb""], [""Jim Lovell""], [""Chuck Noland""], [""Rep. Charlie Wilson""], [""Hero Boy"", ""Father"", ""Conductor"", ""Hobo"", ""Scrooge"", ""Santa Claus""], [""Jimmy Dugan""]]}, {""Actor"": ""Keanu Reeves"", ""DistinctRolesCount"": 5, ""distinct_roles"": [[""Neo""], [""Kevin Lomax""], [""Shane Falco""], [""Johnny Mnemonic""], [""Julian Mercer""]]}, {""Actor"": ""Jack Nicholson"", ""DistinctRolesCount"": 5, ""distinct_roles"": [[""Col. Nathan R. Jessup""], [""Melvin Udall""], [""Hoffa""], [""Randle McMurphy""], [""Harry Sanborn""]]}]"
What is the longest movie title in the database?,"[{""m.title"": ""One Flew Over the Cuckoo's Nest"", ""length"": 31}]",,"""Sorry, I couldn't find an answer to your question"""
"Which person directed the movie ""V for Vendetta""?","[{""p.name"": ""James Marshall""}]","MATCH (p:Person)-[r:DIRECTED]->(m:Movie {title: ""V for Vendetta""}) RETURN p.name AS Director, m.title AS Movie LIMIT 20;","[{""Director"": ""James Marshall"", ""Movie"": ""V for Vendetta""}]"
List the top 3 directors who have directed movies with the highest average votes.,"[{""director_name"": ""Lana Wachowski"", ""average_movie_votes"": 755.0}, {""director_name"": ""Lilly Wachowski"", ""average_movie_votes"": 755.0}, {""director_name"": ""Tony Scott"", ""average_movie_votes"": 545.0}]","MATCH (p:Person)-[:DIRECTED]->(m:Movie) WITH p, AVG(m.votes) AS average_votes ORDER BY average_votes DESC RETURN p.name AS Director, average_votes AS AverageVotes LIMIT 3;","[{""AverageVotes"": 759.8, ""Director"": ""Lilly Wachowski""}, {""AverageVotes"": 759.8, ""Director"": ""Lana Wachowski""}, {""AverageVotes"": 545.0, ""Director"": ""Tony Scott""}]"
What are the first 3 movies with a vote count less than 100?,"[{""m.title"": ""Frost/Nixon""}, {""m.title"": ""RescueDawn""}, {""m.title"": ""Ninja Assassin""}]","MATCH (m:Movie) WHERE m.votes < 100 RETURN m.title AS Movie, m.votes AS Votes ORDER BY m.votes LIMIT 3;","[{""Movie"": ""Frost/Nixon"", ""Votes"": 1}, {""Movie"": ""RescueDawn"", ""Votes"": 13}, {""Movie"": ""Ninja Assassin"", ""Votes"": 15}]"
Find the first 3 people who acted in a movie released in the 1990s.,"[{""p.name"": ""Emil Eifrem""}, {""p.name"": ""Hugo Weaving""}, {""p.name"": ""Laurence Fishburne""}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WHERE m.released >= 1990 AND m.released < 2000 RETURN p.name AS Actor, m.title AS Movie LIMIT 3;","[{""Actor"": ""Emil Eifrem"", ""Movie"": ""The Matrix""}, {""Actor"": ""Hugo Weaving"", ""Movie"": ""The Matrix""}, {""Actor"": ""Laurence Fishburne"", ""Movie"": ""The Matrix""}]"
Who are the first 3 people to have produced a movie with more than 500 votes?,"[{""p.name"": ""Joel Silver""}, {""p.name"": ""Joel Silver""}]","MATCH (p:Person)-[r:PRODUCED]->(m:Movie) WHERE m.votes > 500 RETURN p.name AS Producer, m.title AS Movie, m.votes AS Votes ORDER BY p.name LIMIT 3;","[{""Movie"": ""The Matrix Reloaded"", ""Producer"": ""Joel Silver"", ""Votes"": 1906}, {""Movie"": ""The Matrix Revolutions"", ""Producer"": ""Joel Silver"", ""Votes"": 1577}]"
List the top 5 movies by the number of roles and their respective actors.,"[{""movie"": ""The Polar Express"", ""actors"": [""Tom Hanks""], ""numRoles"": 6}, {""movie"": ""Cloud Atlas"", ""actors"": [""Hugo Weaving""], ""numRoles"": 6}, {""movie"": ""Cloud Atlas"", ""actors"": [""Tom Hanks"", ""Halle Berry""], ""numRoles"": 4}, {""movie"": ""Joe Versus the Volcano"", ""actors"": [""Meg Ryan""], ""numRoles"": 3}, {""movie"": ""Cloud Atlas"", ""actors"": [""Jim Broadbent""], ""numRoles"": 3}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WITH m, COUNT(r.roles) AS role_count, COLLECT(p.name) AS actors ORDER BY role_count DESC RETURN m.title AS Movie, role_count AS NumberOfRoles, actors LIMIT 5;","[{""Movie"": ""A Few Good Men"", ""NumberOfRoles"": 12, ""actors"": [""James Marshall"", ""Kevin Pollak"", ""J.T. Walsh"", ""Aaron Sorkin"", ""Cuba Gooding Jr."", ""Christopher Guest"", ""Noah Wyle"", ""Kiefer Sutherland"", ""Kevin Bacon"", ""Demi Moore"", ""Jack Nicholson"", ""Tom Cruise""]}, {""Movie"": ""Jerry Maguire"", ""NumberOfRoles"": 9, ""actors"": [""Jerry O'Connell"", ""Bonnie Hunt"", ""Jay Mohr"", ""Cuba Gooding Jr."", ""Jonathan Lipnicki"", ""Renee Zellweger"", ""Kelly Preston"", ""Regina King"", ""Tom Cruise""]}, {""Movie"": ""The Green Mile"", ""NumberOfRoles"": 8, ""actors"": [""Sam Rockwell"", ""Bonnie Hunt"", ""Patricia Clarkson"", ""James Cromwell"", ""Tom Hanks"", ""Michael Clarke Duncan"", ""David Morse"", ""Gary Sinise""]}, {""Movie"": ""Stand By Me"", ""NumberOfRoles"": 7, ""actors"": [""Jerry O'Connell"", ""River Phoenix"", ""Marshall Bell"", ""Wil Wheaton"", ""Kiefer Sutherland"", ""John Cusack"", ""Corey Feldman""]}, {""Movie"": ""Speed Racer"", ""NumberOfRoles"": 7, ""actors"": [""Emile Hirsch"", ""Rain"", ""Christina Ricci"", ""Ben Miles"", ""Susan Sarandon"", ""John Goodman"", ""Matthew Fox""]}]"
Who are the first 3 people born in the 1960s that Keanu Reeves follows?,[],"MATCH (p:Person {name: ""Keanu Reeves""})-[f:FOLLOWS]->(follower:Person) WHERE follower.born >= 1960 AND follower.born < 1970 RETURN follower.name AS Follower, follower.born AS BirthYear ORDER BY follower.born LIMIT 3;",[]
Which movies have more than 3 actors listed?,"[{""MovieTitle"": ""The Matrix"", ""actorCount"": 5}, {""MovieTitle"": ""The Matrix Reloaded"", ""actorCount"": 4}, {""MovieTitle"": ""The Matrix Revolutions"", ""actorCount"": 4}, {""MovieTitle"": ""A Few Good Men"", ""actorCount"": 12}, {""MovieTitle"": ""Top Gun"", ""actorCount"": 6}, {""MovieTitle"": ""Jerry Maguire"", ""actorCount"": 9}, {""MovieTitle"": ""Stand By Me"", ""actorCount"": 7}, {""MovieTitle"": ""As Good as It Gets"", ""actorCount"": 4}, {""MovieTitle"": ""What Dreams May Come"", ""actorCount"": 5}, {""MovieTitle"": ""Snow Falling on Cedars"", ""actorCount"": 4}, {""MovieTitle"": ""You've Got Mail"", ""actorCount"": 6}, {""MovieTitle"": ""Sleepless in Seattle"", ""actorCount"": 6}, {""MovieTitle"": ""When Harry Met Sally"", ""actorCount"": 4}, {""MovieTitle"": ""The Replacements"", ""actorCount"": 4}, {""MovieTitle"": ""RescueDawn"", ""actorCount"": 4}, {""MovieTitle"": ""Johnny Mnemonic"", ""actorCount"": 4}, {""MovieTitle"": ""Cloud Atlas"", ""actorCount"": 4}, {""MovieTitle"": ""The Da Vinci Code"", ""actorCount"": 4}, {""MovieTitle"": ""V for Vendetta"", ""actorCount"": 5}, {""MovieTitle"": ""Speed Racer"", ""actorCount"": 7}, {""MovieTitle"": ""Ninja Assassin"", ""actorCount"": 4}, {""MovieTitle"": ""The Green Mile"", ""actorCount"": 8}, {""MovieTitle"": ""Frost/Nixon"", ""actorCount"": 5}, {""MovieTitle"": ""Hoffa"", ""actorCount"": 4}, {""MovieTitle"": ""Apollo 13"", ""actorCount"": 5}, {""MovieTitle"": ""Twister"", ""actorCount"": 4}, {""MovieTitle"": ""A League of Their Own"", ""actorCount"": 6}]","MATCH (p:Person)-[:ACTED_IN]->(m:Movie) WITH m, COUNT(p) AS actor_count WHERE actor_count > 3 RETURN m.title AS Movie, actor_count AS ActorCount ORDER BY ActorCount DESC LIMIT 50;","[{""ActorCount"": 12, ""Movie"": ""A Few Good Men""}, {""ActorCount"": 9, ""Movie"": ""Jerry Maguire""}, {""ActorCount"": 8, ""Movie"": ""The Green Mile""}, {""ActorCount"": 7, ""Movie"": ""Stand By Me""}, {""ActorCount"": 7, ""Movie"": ""Speed Racer""}, {""ActorCount"": 6, ""Movie"": ""Top Gun""}, {""ActorCount"": 6, ""Movie"": ""You've Got Mail""}, {""ActorCount"": 6, ""Movie"": ""Sleepless in Seattle""}, {""ActorCount"": 6, ""Movie"": ""A League of Their Own""}, {""ActorCount"": 5, ""Movie"": ""The Matrix""}, {""ActorCount"": 5, ""Movie"": ""What Dreams May Come""}, {""ActorCount"": 5, ""Movie"": ""V for Vendetta""}, {""ActorCount"": 5, ""Movie"": ""Frost/Nixon""}, {""ActorCount"": 5, ""Movie"": ""Apollo 13""}, {""ActorCount"": 4, ""Movie"": ""The Matrix Reloaded""}, {""ActorCount"": 4, ""Movie"": ""The Matrix Revolutions""}, {""ActorCount"": 4, ""Movie"": ""As Good as It Gets""}, {""ActorCount"": 4, ""Movie"": ""Snow Falling on Cedars""}, {""ActorCount"": 4, ""Movie"": ""When Harry Met Sally""}, {""ActorCount"": 4, ""Movie"": ""The Replacements""}, {""ActorCount"": 4, ""Movie"": ""RescueDawn""}, {""ActorCount"": 4, ""Movie"": ""Johnny Mnemonic""}, {""ActorCount"": 4, ""Movie"": ""Cloud Atlas""}, {""ActorCount"": 4, ""Movie"": ""The Da Vinci Code""}, {""ActorCount"": 4, ""Movie"": ""Ninja Assassin""}, {""ActorCount"": 4, ""Movie"": ""Hoffa""}, {""ActorCount"": 4, ""Movie"": ""Twister""}]"
Which person reviewed the movie with the lowest rating?,"[{""reviewer"": ""Jessica Thompson"", ""movie"": ""The Birdcage"", ""rating"": 45}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) RETURN p.name AS Reviewer, r.rating AS Rating, m.title AS Movie ORDER BY r.rating ASC LIMIT 1;","[{""Movie"": ""The Birdcage"", ""Rating"": 45, ""Reviewer"": ""Jessica Thompson""}]"
List the first 3 people who acted in a movie released in 2012.,"[{""p.name"": ""Tom Hanks""}, {""p.name"": ""Jim Broadbent""}, {""p.name"": ""Halle Berry""}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WHERE m.released = 2012 RETURN p.name AS Actor, m.title AS Movie ORDER BY p.name LIMIT 3;","[{""Actor"": ""Halle Berry"", ""Movie"": ""Cloud Atlas""}, {""Actor"": ""Hugo Weaving"", ""Movie"": ""Cloud Atlas""}, {""Actor"": ""Jim Broadbent"", ""Movie"": ""Cloud Atlas""}]"
Show the top 5 people who have the most followers.,"[{""personName"": ""Jessica Thompson"", ""followerCount"": 2}, {""personName"": ""Angela Scope"", ""followerCount"": 1}]",,"""Sorry, I couldn't find an answer to your question"""
Show the first 3 people who have reviewed more than one movie.,"[{""p"": {""name"": ""Jessica Thompson""}}, {""p"": {""name"": ""James Thompson""}}]","MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WITH p, COUNT(m) AS movie_count WHERE movie_count > 1 RETURN p.name AS Reviewer, movie_count AS MoviesReviewed ORDER BY movie_count DESC LIMIT 3;","[{""MoviesReviewed"": 6, ""Reviewer"": ""Jessica Thompson""}, {""MoviesReviewed"": 2, ""Reviewer"": ""James Thompson""}]"
"How many movies released after 2000 have ""coolest"" in their review summary?","[{""count(m)"": 0}]","MATCH (m:Movie) WHERE m.released > 2000 OPTIONAL MATCH (p:Person)-[r:REVIEWED]->(m) WHERE toLower(r.summary) CONTAINS ""coolest"" RETURN COUNT(m) AS MoviesWithCoolestReviews LIMIT 50;","[{""MoviesWithCoolestReviews"": 12}]"
What is the average rating of movies released in 2003?,"[{""averageRating"": null}]",,"""Sorry, I couldn't find an answer to your question"""
List the roles of any person in movies with a title containing 'Matrix'.,"[{""person"": ""Emil Eifrem"", ""movie"": ""The Matrix"", ""roles"": [""Emil""]}, {""person"": ""Hugo Weaving"", ""movie"": ""The Matrix"", ""roles"": [""Agent Smith""]}, {""person"": ""Laurence Fishburne"", ""movie"": ""The Matrix"", ""roles"": [""Morpheus""]}, {""person"": ""Carrie-Anne Moss"", ""movie"": ""The Matrix"", ""roles"": [""Trinity""]}, {""person"": ""Keanu Reeves"", ""movie"": ""The Matrix"", ""roles"": [""Neo""]}, {""person"": ""Hugo Weaving"", ""movie"": ""The Matrix Reloaded"", ""roles"": [""Agent Smith""]}, {""person"": ""Laurence Fishburne"", ""movie"": ""The Matrix Reloaded"", ""roles"": [""Morpheus""]}, {""person"": ""Carrie-Anne Moss"", ""movie"": ""The Matrix Reloaded"", ""roles"": [""Trinity""]}, {""person"": ""Keanu Reeves"", ""movie"": ""The Matrix Reloaded"", ""roles"": [""Neo""]}, {""person"": ""Hugo Weaving"", ""movie"": ""The Matrix Revolutions"", ""roles"": [""Agent Smith""]}, {""person"": ""Laurence Fishburne"", ""movie"": ""The Matrix Revolutions"", ""roles"": [""Morpheus""]}, {""person"": ""Carrie-Anne Moss"", ""movie"": ""The Matrix Revolutions"", ""roles"": [""Trinity""]}, {""person"": ""Keanu Reeves"", ""movie"": ""The Matrix Revolutions"", ""roles"": [""Neo""]}]","MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WHERE toLower(m.title) CONTAINS ""matrix"" RETURN p.name AS Actor, m.title AS Movie, r.roles AS Roles LIMIT 50;","[{""Actor"": ""Emil Eifrem"", ""Movie"": ""The Matrix"", ""Roles"": [""Emil""]}, {""Actor"": ""Hugo Weaving"", ""Movie"": ""The Matrix"", ""Roles"": [""Agent Smith""]}, {""Actor"": ""Laurence Fishburne"", ""Movie"": ""The Matrix"", ""Roles"": [""Morpheus""]}, {""Actor"": ""Carrie-Anne Moss"", ""Movie"": ""The Matrix"", ""Roles"": [""Trinity""]}, {""Actor"": ""Keanu Reeves"", ""Movie"": ""The Matrix"", ""Roles"": [""Neo""]}, {""Actor"": ""Hugo Weaving"", ""Movie"": ""The Matrix Reloaded"", ""Roles"": [""Agent Smith""]}, {""Actor"": ""Laurence Fishburne"", ""Movie"": ""The Matrix Reloaded"", ""Roles"": [""Morpheus""]}, {""Actor"": ""Carrie-Anne Moss"", ""Movie"": ""The Matrix Reloaded"", ""Roles"": [""Trinity""]}, {""Actor"": ""Keanu Reeves"", ""Movie"": ""The Matrix Reloaded"", ""Roles"": [""Neo""]}, {""Actor"": ""Hugo Weaving"", ""Movie"": ""The Matrix Revolutions"", ""Roles"": [""Agent Smith""]}, {""Actor"": ""Laurence Fishburne"", ""Movie"": ""The Matrix Revolutions"", ""Roles"": [""Morpheus""]}, {""Actor"": ""Carrie-Anne Moss"", ""Movie"": ""The Matrix Revolutions"", ""Roles"": [""Trinity""]}, {""Actor"": ""Keanu Reeves"", ""Movie"": ""The Matrix Revolutions"", ""Roles"": [""Neo""]}]"
What is the oldest movie that Keanu Reeves acted in?,"[{""m.title"": ""Johnny Mnemonic"", ""m.released"": 1995}]","MATCH (p:Person {name: ""Keanu Reeves""})-[r:ACTED_IN]->(m:Movie) RETURN m.title AS Movie, m.released AS ReleasedYear ORDER BY ReleasedYear ASC LIMIT 1;","[{""Movie"": ""Johnny Mnemonic"", ""ReleasedYear"": 1995}]"
What are the 3 oldest persons in the database?,"[{""p.name"": ""Max von Sydow"", ""p.born"": 1929}, {""p.name"": ""Gene Hackman"", ""p.born"": 1930}, {""p.name"": ""Richard Harris"", ""p.born"": 1930}]","MATCH (p:Person) RETURN p.name AS Name, p.born AS YearBorn ORDER BY p.born ASC LIMIT 3;","[{""Name"": ""Max von Sydow"", ""YearBorn"": 1929}, {""Name"": ""Gene Hackman"", ""YearBorn"": 1930}, {""Name"": ""Richard Harris"", ""YearBorn"": 1930}]"
Name 3 movies with taglines that contain the word 'Speed'.,"[{""m.title"": ""Speed Racer""}]","MATCH (m:Movie) WHERE toLower(m.tagline) CONTAINS ""speed"" RETURN m.title AS Movie, m.tagline AS Tagline LIMIT 3;","[{""Movie"": ""Top Gun"", ""Tagline"": ""I feel the need, the need for speed.""}, {""Movie"": ""Speed Racer"", ""Tagline"": ""Speed has no limits""}]"
What are the top 3 oldest movies in the database by release year?,"[{""m.title"": ""One Flew Over the Cuckoo's Nest"", ""m.released"": 1975}, {""m.title"": ""Top Gun"", ""m.released"": 1986}, {""m.title"": ""Stand By Me"", ""m.released"": 1986}]","MATCH (m:Movie) RETURN m.title AS Movie, m.released AS ReleaseYear ORDER BY m.released ASC LIMIT 3;","[{""Movie"": ""One Flew Over the Cuckoo's Nest"", ""ReleaseYear"": 1975}, {""Movie"": ""Top Gun"", ""ReleaseYear"": 1986}, {""Movie"": ""Stand By Me"", ""ReleaseYear"": 1986}]"
